scenario_id,question,location,decision_type,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
68,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",Appliance,Wash at 3:00 PM,9.8,9.8,9.2,4.0,1,8.81
68,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",Appliance,Wash at 5:00 PM,9.7,9.8,4.6,3.8,2,7.83
69,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",Appliance,Wash at 5:00 PM,9.8,9.5,7.0,4.5,2,8.34
69,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",Appliance,Wash at 2:00 PM,9.8,9.5,6.7,4.0,3,8.205
69,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",Appliance,Wash at 9:00 PM,10.0,9.9,8.6,8.3,1,9.43
70,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",Appliance,Wash at 4:00 PM,7.5,8.1,2.9,3.8,2,6.234999999999999
70,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",Appliance,Wash at 1:00 AM,8.8,7.8,1.3,3.8,3,6.2
70,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",Appliance,Wash at 10:00 PM,7.5,8.1,10.0,10.0,1,8.584999999999999
71,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",Appliance,Wash at 4:00 PM,9.8,9.6,8.6,8.2,2,9.25
71,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",Appliance,Wash at 12:00 PM,9.8,9.6,8.5,8.0,3,9.2
71,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",Appliance,Wash at 9:00 PM,9.8,9.6,8.6,8.3,1,9.265
72,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",Appliance,Wash at 5:00 PM,7.5,8.1,10.0,10.0,1,8.584999999999999
72,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",Appliance,Wash at 1:00 AM,9.1,8.1,1.6,2.4,3,6.245
72,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",Appliance,Wash at 7:00 PM,8.4,8.1,7.3,7.7,2,7.97
73,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",Appliance,Wash at 7:00 PM,9.8,9.5,5.0,7.0,1,8.315
73,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",Appliance,Wash at 2:00 PM,9.8,9.5,0.0,3.8,2,6.835
73,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",Appliance,Wash at 1:00 AM,9.8,9.5,0.0,3.8,3,6.835
74,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",Appliance,Wash at 5:00 PM,9.7,9.6,6.2,3.8,1,8.08
74,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",Appliance,Wash at 10:00 PM,9.0,9.5,6.0,5.0,2,7.975
74,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",Appliance,Wash at 1:00 AM,10.0,10.0,0.0,1.0,3,6.65
75,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",Appliance,Wash at 9:00 PM,9.8,9.6,8.6,8.2,1,9.25
75,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",Appliance,Wash at 12:00 AM,10.0,9.6,0.8,4.0,3,7.119999999999999
75,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",Appliance,Wash at 2:00 PM,9.8,9.6,8.6,8.2,2,9.25
76,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",Appliance,Dry at 2:00 PM,6.8,4.2,8.6,6.8,1,6.25
76,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",Appliance,Dry at 9:00 PM,7.0,4.2,3.0,5.0,3,4.92
76,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",Appliance,Dry at 5:00 PM,6.5,7.0,4.6,3.8,2,5.89
77,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",Appliance,Dry at 2:00 PM,5.0,5.4,7.0,6.0,1,5.6899999999999995
77,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",Appliance,Dry at 12:00 AM,8.5,5.0,0.0,3.0,3,4.75
77,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",Appliance,Dry at 11:00 PM,7.0,4.2,4.0,6.0,2,5.27
78,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",Appliance,Dry at 1:00 AM,9.0,8.2,0.0,3.0,3,6.02
78,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",Appliance,Dry at 2:00 PM,6.5,5.4,8.0,7.5,2,6.5649999999999995
78,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",Appliance,Dry at 8:00 PM,8.5,6.5,7.5,8.0,1,7.5249999999999995
79,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",Appliance,Dry at 8:00 PM,8.0,6.0,9.0,9.0,1,7.6499999999999995
79,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",Appliance,Dry at 10:00 AM,7.4,5.4,10.0,10.0,2,7.61
79,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",Appliance,Dry at 4:00 PM,4.8,5.4,4.6,3.8,3,4.82
80,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",Appliance,Dry at 1:00 AM,8.5,6.0,1.0,5.0,1,5.6
80,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",Appliance,Dry at 9:00 PM,8.5,6.5,1.0,2.0,2,5.324999999999999
80,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",Appliance,Dry at 4:00 PM,4.8,5.4,6.7,4.0,3,5.27
81,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",Appliance,Dry at 12:00 AM,8.5,5.6,2.0,5.0,1,5.66
81,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",Appliance,Dry at 7:00 PM,7.0,4.2,2.9,3.8,2,4.720000000000001
81,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",Appliance,Dry at 3:00 PM,3.5,4.2,0.0,0.0,3,2.52
82,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",Appliance,Dry at 12:00 AM,10.0,5.4,0.7,3.8,2,5.6
82,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",Appliance,Dry at 10:00 PM,8.5,6.5,9.5,9.0,1,8.075
82,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",Appliance,Dry at 4:00 PM,4.8,5.4,6.7,4.0,3,5.27
83,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",Appliance,Dry at 4:00 PM,7.8,8.2,4.6,3.8,2,6.699999999999999
83,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",Appliance,Dry at 10:00 PM,9.0,8.2,6.8,6.5,1,7.904999999999999
83,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",Appliance,Dry at 6:00 AM,8.5,8.2,3.0,2.5,3,6.395
84,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",Appliance,Dry at 3:00 PM,7.0,5.4,7.0,4.5,1,6.065
84,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",Appliance,Dry at 11:00 PM,3.5,4.2,2.0,5.0,3,3.67
84,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",Appliance,Dry at 1:00 AM,7.0,4.2,0.0,2.0,2,3.87
85,When should I do dishes today?,"York, PA",Appliance,Run dishwasher at 7:00 PM,8.6,7.6,5.1,3.8,1,6.83
85,When should I do dishes today?,"York, PA",Appliance,Run dishwasher at 10:00 PM,8.6,7.6,0.0,0.0,2,5.239999999999999
85,When should I do dishes today?,"York, PA",Appliance,Run dishwasher at 1:00 AM,8.6,7.6,0.0,0.0,3,5.239999999999999
86,What's the ideal shower length?,"Erie, PA",Shower,6,7.5,8.5,8.5,6.5,1,7.8999999999999995
86,What's the ideal shower length?,"Erie, PA",Shower,9,5.5,7.5,8.5,6.0,3,6.875
86,What's the ideal shower length?,"Erie, PA",Shower,12,5.6,7.2,10.0,6.2,2,7.13
87,What's the ideal shower length?,"Scranton, PA",Shower,5,8.5,9.5,6.5,6.5,2,8.15
87,What's the ideal shower length?,"Scranton, PA",Shower,7,8.5,9.2,7.8,5.9,1,8.215
87,What's the ideal shower length?,"Scranton, PA",Shower,10,5.6,7.2,10.0,6.2,3,7.13
88,What's the ideal shower length?,"Bethlehem, PA",Shower,5,8.5,9.6,7.8,7.8,1,8.64
88,What's the ideal shower length?,"Bethlehem, PA",Shower,10,7.5,8.7,10.0,6.2,2,8.225
88,What's the ideal shower length?,"Bethlehem, PA",Shower,15,4.3,6.0,5.6,4.5,3,5.185
89,How long should my showers be?,"Reading, PA",Shower,5,8.5,9.0,8.5,6.5,1,8.375
89,How long should my showers be?,"Reading, PA",Shower,8,7.2,8.5,8.8,6.5,2,7.869999999999999
89,How long should my showers be?,"Reading, PA",Shower,12,6.5,7.2,9.5,5.8,3,7.24
90,How long should my showers be?,"York, PA",Shower,5,8.5,9.5,6.5,4.8,1,7.895
90,How long should my showers be?,"York, PA",Shower,10,6.7,8.1,9.3,5.1,2,7.469999999999999
90,How long should my showers be?,"York, PA",Shower,15,5.6,7.2,10.0,6.2,3,7.13
91,How long should my showers be?,"West Chester, PA",Shower,5,8.5,9.5,8.5,7.5,2,8.7
91,How long should my showers be?,"West Chester, PA",Shower,7,8.5,9.5,8.8,7.2,1,8.715
91,How long should my showers be?,"West Chester, PA",Shower,10,7.8,8.9,9.5,6.5,3,8.33
92,How long should my showers be?,"State College, PA",Shower,6,7.2,8.5,8.5,6.5,1,7.81
92,How long should my showers be?,"State College, PA",Shower,10,5.2,7.0,8.5,6.0,2,6.609999999999999
92,How long should my showers be?,"State College, PA",Shower,15,4.3,6.0,5.6,4.5,3,5.185
93,How long should my showers be?,"Doylestown, PA",Shower,6,8.5,9.6,10.0,7.8,1,9.08
93,How long should my showers be?,"Doylestown, PA",Shower,9,6.5,7.0,9.0,8.0,3,7.3999999999999995
93,How long should my showers be?,"Doylestown, PA",Shower,12,7.5,8.7,10.0,6.2,2,8.225
94,What's the ideal shower length?,"Media, PA",Shower,5,8.5,9.5,7.5,7.0,2,8.425
94,What's the ideal shower length?,"Media, PA",Shower,8,8.5,9.5,8.5,7.8,1,8.745000000000001
94,What's the ideal shower length?,"Media, PA",Shower,12,6.5,7.8,8.6,5.0,3,7.1499999999999995
95,What's the ideal shower length?,"Norristown, PA",Shower,6,7.5,8.5,8.5,6.5,1,7.8999999999999995
95,What's the ideal shower length?,"Norristown, PA",Shower,10,6.7,8.1,9.3,5.1,2,7.469999999999999
95,What's the ideal shower length?,"Norristown, PA",Shower,15,4.3,6.0,5.6,4.5,3,5.185
96,What's the ideal shower length?,"King of Prussia, PA",Shower,6,8.5,9.5,8.5,6.5,2,8.55
96,What's the ideal shower length?,"King of Prussia, PA",Shower,9,7.5,8.7,10.0,6.2,3,8.225
96,What's the ideal shower length?,"King of Prussia, PA",Shower,12,8.5,9.6,10.0,7.8,1,9.08
97,How long should my showers be?,"Pottstown, PA",Shower,5,9.5,9.8,5.1,2.4,3,7.660000000000001
97,How long should my showers be?,"Pottstown, PA",Shower,8,8.5,9.5,8.5,6.5,1,8.55
97,How long should my showers be?,"Pottstown, PA",Shower,12,7.5,8.5,10.0,6.5,2,8.2
98,What's the ideal shower length?,"Exton, PA",Shower,6,8.5,9.6,8.5,7.8,1,8.780000000000001
98,What's the ideal shower length?,"Exton, PA",Shower,9,6.7,8.1,9.3,5.1,3,7.469999999999999
98,What's the ideal shower length?,"Exton, PA",Shower,12,7.5,8.7,10.0,6.2,2,8.225
99,What's the ideal shower length?,"Newtown, PA",Shower,5,8.5,9.5,8.5,6.5,1,8.55
99,What's the ideal shower length?,"Newtown, PA",Shower,7,7.8,8.9,8.5,6.5,2,8.13
99,What's the ideal shower length?,"Newtown, PA",Shower,10,7.0,8.0,9.0,6.5,3,7.675
100,What's the ideal shower length?,"Wilkes-Barre, PA",Shower,2,8.5,9.5,7.5,6.5,2,8.35
100,What's the ideal shower length?,"Wilkes-Barre, PA",Shower,16,6.5,7.8,8.5,6.2,3,7.31
100,What's the ideal shower length?,"Wilkes-Barre, PA",Shower,29,8.5,9.5,8.5,7.0,1,8.625
