scenario_id,question,location,outdoor_temp,electricity_rate,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_kwh,raw_cost,raw_emissions
73,What's the most efficient overnight heating setpoint for my family?,"New Castle, PA",18,0.14,68,8.46,8.44,8.6,6.47,6.49,0.91,4.27
73,What's the most efficient overnight heating setpoint for my family?,"New Castle, PA",18,0.14,70,8.32,8.3,10,6.47,6.77,0.95,4.45
74,Should I turn off the AC when opening windows in the evening?,"Butler, PA",78,0.14,Off (open windows),8.96,8.95,7.59,10,5.46,0.76,3.59
74,Should I turn off the AC when opening windows in the evening?,"Butler, PA",78,0.14,78 with windows closed,9.38,9.37,8.46,10,4.61,0.65,3.03
74,Should I turn off the AC when opening windows in the evening?,"Butler, PA",78,0.14,75 with windows closed,9.13,9.11,9.25,10,5.12,0.72,3.36
75,What temperature should I maintain during a week of subfreezing weather?,"Coatesville, PA",8,0.14,60,10,9.99,0,4,3.36,0.47,2.21
75,What temperature should I maintain during a week of subfreezing weather?,"Coatesville, PA",8,0.14,64,9.85,9.84,2.86,6.47,3.66,0.51,2.41
75,What temperature should I maintain during a week of subfreezing weather?,"Coatesville, PA",8,0.14,68,9.7,9.69,8.6,6.47,3.96,0.55,2.6
76,Should I program my thermostat differently for days when kids are home from school?,"Uniontown, PA",86,0.14,75,8.68,8.66,9.32,9.41,6.04,0.84,3.97
76,Should I program my thermostat differently for days when kids are home from school?,"Uniontown, PA",86,0.14,78,8.95,8.93,8.6,10,5.49,0.77,3.61
76,Should I program my thermostat differently for days when kids are home from school?,"Uniontown, PA",86,0.14,80,9.12,9.11,6.11,10,5.13,0.72,3.38
77,What's the best setpoint for a 2-week winter vacation to prevent pipe freezing?,"Indiana, PA",10,0.14,55,8.34,8.32,0,0,6.72,0.94,4.42
77,What's the best setpoint for a 2-week winter vacation to prevent pipe freezing?,"Indiana, PA",10,0.14,60,7.94,7.91,0,4,7.54,1.06,4.96
77,What's the best setpoint for a 2-week winter vacation to prevent pipe freezing?,"Indiana, PA",10,0.14,65,7.53,7.51,4.06,6.47,8.36,1.17,5.49
78,Should I use setback temperatures during my afternoon work shift?,"Meadville, PA",25,0.14,68,9.62,9.6,8.46,6.47,4.13,0.58,2.72
78,Should I use setback temperatures during my afternoon work shift?,"Meadville, PA",25,0.14,70,9.51,9.49,10,6.47,4.35,0.61,2.86
78,Should I use setback temperatures during my afternoon work shift?,"Meadville, PA",25,0.14,72,9.4,9.39,8.46,6.47,4.57,0.64,3
79,What thermostat schedule should I use for irregular work hours this week?,"Greensburg, PA",90,0.14,Keep constant 76,9.03,9.01,10,9.41,5.32,0.75,3.5
79,What thermostat schedule should I use for irregular work hours this week?,"Greensburg, PA",90,0.14,Variable 74-78,8.9,8.88,8.6,9.41,5.58,0.78,3.67
79,What thermostat schedule should I use for irregular work hours this week?,"Greensburg, PA",90,0.14,Variable 72-80,8.78,8.76,6.11,9.41,5.84,0.82,3.84
80,Should I use a programmable schedule or keep my thermostat constant all week?,"DuBois, PA",91,0.14,Programmable (76 occupied / 82 away),0.67,0.61,10,9.41,22.28,3.12,14.64
80,Should I use a programmable schedule or keep my thermostat constant all week?,"DuBois, PA",91,0.14,Constant 78,1.25,1.18,8.46,9.41,21.12,2.96,13.88
80,Should I use a programmable schedule or keep my thermostat constant all week?,"DuBois, PA",91,0.14,Constant 76,0.67,0.61,10,9.41,22.28,3.12,14.64
